PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL),DAILY_OIL_PROD,DAILY_GAS_PROD,DAILY_WATER_PROD,GOR,WATER_CUT,DAYS_ON_PROD
2014-03-19,Well_#1,24.0,2944,207.86,1041.88,43.80723,1023.26,108.258,23223,22865,31634,0,714.0,724.0,0.0,1014.0056022408963,0.0,32
2014-03-20,Well_#1,24.0,2948,207.807,998.181,44.92695,991.898,98.741,23966,23616,32620,0,743.0,751.0,0.0,1010.7671601615074,0.0,33
2014-03-21,Well_#1,24.0,2945,207.808,1015.3,44.95576,1021.3,98.413,24702,24353,33628,0,736.0,737.0,0.0,1001.3586956521739,0.0,34
2014-03-22,Well_#1,24.0,2918,207.92,1039.71,45.67459,1003.48,106.659,25485,25128,34725,0,783.0,775.0,0.0,989.7828863346105,0.0,35
2014-03-23,Well_#1,24.0,2872,208.104,1006.43,46.33671,926.685,106.526,26320,25953,35887,0,835.0,825.0,0.0,988.0239520958083,0.0,36
2014-03-24,Well_#1,24.0,2877,208.057,1032.84,45.72187,942.691,109.386,27109,26724,36973,0,789.0,771.0,0.0,977.1863117870722,0.0,37
2014-03-25,Well_#1,24.0,2873,208.054,1033.23,45.72819,965.109,109.199,27892,27493,38026,0,783.0,769.0,0.0,982.1200510855683,0.0,38
2014-03-26,Well_#1,24.0,2872,208.042,977.895,45.12885,920.95,104.153,28636,28232,39045,0,744.0,739.0,0.0,993.2795698924731,0.0,39
2014-03-27,Well_#1,24.0,2871,208.044,983.889,44.90033,946.17,106.273,29371,28985,40085,0,735.0,753.0,0.0,1024.4897959183672,0.0,40
2014-03-28,Well_#1,24.0,2869,208.068,1009.4,44.8957,951.169,99.418,30114,29745,41080,93,743.0,760.0,93.0,1022.8802153432032,11.124401913875598,41
2014-03-29,Well_#1,24.0,2870,208.094,1011.73,44.85489,940.647,107.804,30861,30508,42141,194,747.0,763.0,101.0,1021.4190093708166,11.910377358490566,42
2014-03-30,Well_#1,24.0,2871,208.127,1037.59,44.87383,933.326,108.608,31611,31252,43136,295,750.0,744.0,101.0,992.0,11.868390129259694,43
2014-03-31,Well_#1,24.0,2871,208.157,1004.72,44.87715,943.816,108.417,32338,32001,44191,381,727.0,749.0,86.0,1030.261348005502,10.57810578105781,44
2014-04-01,Well_#1,24.0,2871,208.183,980.023,44.83954,912.179,108.727,33054,32746,45253,472,716.0,745.0,91.0,1040.5027932960893,11.27633209417596,45
2014-04-02,Well_#1,24.0,2861,207.368,1031.99,44.82855,921.461,109.021,33749,33465,46251,549,695.0,719.0,77.0,1034.5323741007194,9.974093264248705,46
2014-04-03,Well_#1,24.0,2871,208.225,955.613,44.82861,907.426,110.006,34448,34188,47196,627,699.0,723.0,78.0,1034.3347639484978,10.038610038610038,47
2014-04-04,Well_#1,24.0,2871,208.244,975.262,44.84463,922.008,109.531,35152,34920,48236,704,704.0,732.0,77.0,1039.7727272727273,9.859154929577464,48
2014-04-05,Well_#1,24.0,2871,208.263,956.884,44.82118,932.209,109.151,35868,35664,49229,783,716.0,744.0,79.0,1039.1061452513966,9.937106918238994,49
2014-04-06,Well_#1,24.0,2871,208.278,1045.96,44.87684,941.294,109.698,36592,36417,50307,864,724.0,753.0,81.0,1040.0552486187846,10.062111801242237,50
2014-04-07,Well_#1,22.0,2888,207.998,1027.35,40.462,912.853,101.978,37052,36897,50986,910,460.0,480.0,46.0,1043.4782608695652,9.090909090909092,51
2014-04-08,Well_#1,24.0,2874,208.23,964.369,44.80739,928.006,105.359,37767,37635,52000,990,715.0,738.0,80.0,1032.167832167832,10.062893081761008,52
2014-04-09,Well_#1,24.0,2888,208.223,1006.67,44.77259,911.788,106.385,38474,38368,53053,1070,707.0,733.0,80.0,1036.7751060820367,10.165184243964422,53
2014-04-10,Well_#1,24.0,2885,208.243,1002.12,45.63032,882.554,107.141,39151,39068,54033,1161,677.0,700.0,91.0,1033.97341211226,11.848958333333332,54
2014-04-11,Well_#1,24.0,2881,208.266,999.747,45.78662,914.421,110.547,39841,39770,55029,1253,690.0,702.0,92.0,1017.3913043478261,11.76470588235294,55
2014-04-12,Well_#1,24.0,2879,208.278,1001.86,45.77828,899.698,110.668,40536,40476,56002,1345,695.0,706.0,92.0,1015.8273381294964,11.689961880559085,56
2014-04-13,Well_#1,24.0,2878,208.292,960.206,45.73746,937.117,103.878,41226,41179,57000,1436,690.0,703.0,91.0,1018.8405797101449,11.651728553137005,57
2014-04-14,Well_#1,24.0,2882,208.273,1010.32,45.11716,916.054,107.5,41873,41849,57889,1521,647.0,670.0,85.0,1035.548686244204,11.612021857923498,58
2014-04-15,Well_#1,24.0,2850,208.396,1029.15,46.38075,873.99,107.216,42619,42614,58927,1615,746.0,765.0,94.0,1025.4691689008043,11.190476190476192,59
2014-04-16,Well_#1,24.0,2812,208.519,984.393,47.26594,860.713,118.025,43424,43434,60053,1717,805.0,820.0,102.0,1018.6335403726708,11.245865490628445,60
2014-04-17,Well_#1,24.0,2803,208.512,1001.08,46.816,890.455,119.164,44243,44281,61182,1774,819.0,847.0,57.0,1034.1880341880342,6.506849315068493,61
2014-04-18,Well_#1,24.0,2817,208.462,975.715,46.56574,850.949,115.084,45024,45092,62314,1828,781.0,811.0,54.0,1038.4122919334186,6.467065868263473,62
2014-04-19,Well_#1,24.0,2804,208.476,963.638,46.59911,849.035,116.854,45810,45909,63452,1883,786.0,817.0,55.0,1039.440203562341,6.539833531510107,63
2014-04-20,Well_#1,24.0,2811,208.433,953.461,46.30816,876.962,114.877,46568,46691,64544,1935,758.0,782.0,52.0,1031.6622691292876,6.419753086419753,64
2014-04-21,Well_#1,24.0,2820,208.399,1034.75,46.19525,876.586,113.63,47294,47444,65605,1985,726.0,753.0,50.0,1037.190082644628,6.443298969072164,65
2014-04-22,Well_#1,24.0,2819,208.397,1019.91,46.21067,869.387,113.713,48018,48192,66630,2037,724.0,748.0,52.0,1033.1491712707182,6.701030927835052,66
2014-04-23,Well_#1,24.0,2816,208.398,952.197,46.17896,844.82,112.058,48734,48937,67702,2090,716.0,745.0,53.0,1040.5027932960893,6.8920676202860855,67
2014-04-24,Well_#1,24.0,2813,208.408,999.955,46.15762,855.585,113.391,49444,49675,68732,2141,710.0,738.0,51.0,1039.4366197183099,6.701708278580814,68
2014-04-25,Well_#1,24.0,2810,208.419,956.458,46.18286,862.78,113.773,50152,50407,69735,2191,708.0,732.0,50.0,1033.8983050847457,6.596306068601583,69
2014-04-26,Well_#1,24.0,2805,208.428,1024.65,46.19123,859.629,113.35,50855,51128,70762,2243,703.0,721.0,52.0,1025.6045519203415,6.887417218543046,70
2014-04-27,Well_#1,24.0,2804,208.432,1041.64,46.22994,814.779,112.553,51551,51847,71702,2294,696.0,719.0,51.0,1033.0459770114942,6.827309236947792,71
2014-04-28,Well_#1,24.0,2804,208.42,952.984,46.19908,848.853,111.76,52209,52527,72640,2389,658.0,680.0,95.0,1033.434650455927,12.616201859229747,72
2014-04-29,Well_#1,24.0,2803,208.426,951.404,45.17052,810.694,112.738,52785,53126,73445,2468,576.0,599.0,79.0,1039.9305555555557,12.061068702290076,73
2014-04-30,Well_#1,16.58,2865,207.373,962.377,42.68,862.14,99.565,53155,53515,74002,2520,370.0,389.0,52.0,1051.3513513513512,12.322274881516588,74
2014-05-01,Well_#1,23.83,2835,207.683,972.236,43.04385,795.643,101.586,53574,53960,74641,2579,419.0,445.0,59.0,1062.0525059665872,12.343096234309623,75
2014-05-02,Well_#1,24.0,2807,208.417,975.052,45.64181,803.691,109.288,54163,54581,75532,2671,589.0,621.0,92.0,1054.3293718166383,13.509544787077827,76
2014-05-03,Well_#1,24.0,2809,208.452,1037.28,45.42671,814.404,109.708,54734,55183,76371,2752,571.0,602.0,81.0,1054.290718038529,12.423312883435583,77
2014-05-04,Well_#1,24.0,2810,208.467,1048.8,44.453,776.097,109.761,55247,55724,77106,2824,513.0,541.0,72.0,1054.5808966861598,12.307692307692308,78
2014-05-05,Well_#1,24.0,2811,208.478,1026.69,45.38335,786.516,110.13,55810,56317,77905,2903,563.0,593.0,79.0,1053.2859680284191,12.305295950155763,79
2014-05-06,Well_#1,24.0,2811,208.485,1008.13,45.39574,801.666,103.285,56374,56911,78681,2981,564.0,594.0,78.0,1053.1914893617022,12.149532710280374,80
2014-05-07,Well_#1,24.0,2810,208.493,969.933,45.39958,767.826,102.048,56940,57504,79489,3060,566.0,593.0,79.0,1047.703180212014,12.248062015503876,81
2014-05-08,Well_#1,24.0,2809,208.502,1028.43,45.44161,788.725,102.937,57503,58096,80312,3140,563.0,592.0,80.0,1051.5097690941386,12.441679626749611,82
2014-05-09,Well_#1,24.0,2807,208.507,959.934,45.45031,776.772,107.121,58067,58686,81144,3220,564.0,590.0,80.0,1046.099290780142,12.422360248447205,83
2014-05-10,Well_#1,24.0,2807,208.511,1008.6,45.45878,762.681,110.699,58630,59276,81987,3300,563.0,590.0,80.0,1047.9573712255772,12.441679626749611,84
2014-05-11,Well_#1,24.0,2807,208.513,995.499,45.41983,746.5,108.215,59152,59824,82719,3454,522.0,548.0,154.0,1049.808429118774,22.781065088757398,85
2014-05-12,Well_#1,24.0,2806,208.518,970.584,45.39961,732.518,111.961,59675,60372,83482,3701,523.0,548.0,247.0,1047.8011472275334,32.077922077922075,86
2014-05-13,Well_#1,24.0,2808,208.52,1025.11,45.40286,748.638,109.935,60197,60919,84228,3949,522.0,547.0,248.0,1047.8927203065134,32.20779220779221,87
2014-05-14,Well_#1,24.0,2808,208.525,1033.57,45.38789,739.313,111.967,60688,61435,84947,4161,491.0,516.0,212.0,1050.9164969450103,30.156472261735416,88
2014-05-15,Well_#1,24.0,2808,208.527,962.675,45.3841,713.246,109.93,61180,61947,85683,4415,492.0,512.0,254.0,1040.6504065040651,34.048257372654156,89
2014-05-16,Well_#1,24.0,2812,208.523,973.408,45.45363,739.351,110.694,61668,62458,86369,4619,488.0,511.0,204.0,1047.1311475409836,29.47976878612717,90
2014-05-17,Well_#1,24.0,2816,208.51,1025.02,45.39646,714.51,111.543,62150,62961,87062,4818,482.0,503.0,199.0,1043.5684647302905,29.22173274596182,91
2014-05-18,Well_#1,24.0,2818,208.488,971.278,45.59258,685.662,110.905,62642,63476,87755,5034,492.0,515.0,216.0,1046.7479674796748,30.508474576271187,92
2014-05-19,Well_#1,24.0,2806,208.527,979.586,46.4488,704.146,110.34,63118,63971,88403,5280,476.0,495.0,246.0,1039.9159663865546,34.07202216066482,93
2014-05-20,Well_#1,24.0,2803,208.536,1023.33,46.32774,705.586,110.374,63584,64459,89075,5524,466.0,488.0,244.0,1047.2103004291846,34.36619718309859,94
2014-05-21,Well_#1,24.0,2803,208.539,1033.79,46.2821,689.889,108.304,64048,64943,89753,5766,464.0,484.0,242.0,1043.103448275862,34.27762039660057,95
2014-05-22,Well_#1,24.0,2805,208.533,1025.16,46.26431,668.108,114.121,64507,65424,90407,6007,459.0,481.0,241.0,1047.930283224401,34.42857142857143,96
2014-05-23,Well_#1,24.0,2806,208.532,1031.82,46.25565,669.958,113.184,64965,65905,91050,6248,458.0,481.0,241.0,1050.2183406113538,34.47782546494993,97
2014-05-24,Well_#1,22.42,2819,208.323,1047.99,42.61593,698.434,109.08,65256,66221,91493,6387,291.0,316.0,139.0,1085.910652920962,32.325581395348834,98
2014-05-25,Well_#1,24.0,2807,208.524,1003.21,46.53726,654.805,110.788,65743,66735,92229,6643,487.0,514.0,256.0,1055.441478439425,34.45491251682369,99
2014-05-26,Well_#1,24.0,2807,208.58,958.047,46.26988,659.834,113.852,66212,67222,92908,6885,469.0,487.0,242.0,1038.3795309168443,34.036568213783404,100
2014-05-27,Well_#1,24.0,2808,208.589,1033.76,46.28678,681.374,114.192,66677,67714,93564,7125,465.0,492.0,240.0,1058.0645161290322,34.04255319148936,101
2014-05-28,Well_#1,24.0,2811,208.59,960.864,46.20436,657.653,115.285,67144,68204,94260,7357,467.0,490.0,232.0,1049.250535331906,33.190271816881264,102
2014-05-29,Well_#1,24.0,2813,208.59,992.148,46.22631,674.998,114.91,67608,68691,94935,7591,464.0,487.0,234.0,1049.5689655172414,33.5243553008596,103
2014-05-30,Well_#1,24.0,2814,208.592,1012.69,46.18129,675.971,115.76,68067,69175,95621,7842,459.0,484.0,251.0,1054.466230936819,35.352112676056336,104
2014-05-31,Well_#1,24.0,2817,208.591,1013.0,46.1633,641.843,114.053,68528,69658,96274,8102,461.0,483.0,260.0,1047.7223427331887,36.061026352288486,105
2014-06-01,Well_#1,24.0,2820,208.59,956.506,46.17438,628.811,114.59,68986,70139,96935,8348,458.0,481.0,246.0,1050.2183406113538,34.94318181818182,106
2014-06-02,Well_#1,24.0,2818,208.605,1040.98,46.68765,660.17,110.74,69467,70645,97619,8606,481.0,506.0,258.0,1051.9750519750519,34.912043301759134,107
2014-06-03,Well_#1,24.0,2801,208.673,980.688,47.25527,659.417,111.485,69957,71153,98317,8849,490.0,508.0,243.0,1036.734693877551,33.15143246930423,108
2014-06-04,Well_#1,24.0,2807,208.652,1017.68,47.25636,636.517,114.154,70333,71547,98868,9068,376.0,394.0,219.0,1047.872340425532,36.806722689075634,109
2014-06-05,Well_#1,24.0,2806,208.654,971.406,47.25968,631.396,114.28,70711,71944,99406,9286,378.0,397.0,218.0,1050.2645502645503,36.577181208053695,110
2014-06-06,Well_#1,24.0,2808,208.647,970.891,47.24339,625.529,112.821,71090,72340,99946,9504,379.0,396.0,218.0,1044.8548812664908,36.515912897822446,111
2014-06-07,Well_#1,24.0,2807,208.647,1024.46,47.2376,618.495,112.145,71468,72738,100480,9717,378.0,398.0,213.0,1052.9100529100529,36.04060913705584,112
2014-06-08,Well_#1,24.0,2778,208.722,1033.78,48.05199,624.834,110.619,71886,73174,101081,9945,418.0,436.0,228.0,1043.0622009569379,35.294117647058826,113
2014-06-09,Well_#1,24.0,2743,208.826,1010.08,48.1438,629.263,121.032,72394,73702,101787,10207,508.0,528.0,262.0,1039.3700787401574,34.02597402597402,114
2014-06-10,Well_#1,24.0,2738,208.819,1005.99,48.10647,601.794,119.697,72863,74192,102450,10460,469.0,490.0,253.0,1044.7761194029852,35.041551246537395,115
2014-06-11,Well_#1,24.0,2742,208.797,1007.41,48.68903,606.338,116.747,73385,74737,103181,10754,522.0,545.0,294.0,1044.0613026819924,36.029411764705884,116
2014-06-12,Well_#1,24.0,2743,208.78,1027.27,48.70456,572.069,119.511,73903,75278,103906,11051,518.0,541.0,297.0,1044.4015444015445,36.441717791411044,117
2014-06-13,Well_#1,24.0,2748,208.757,977.791,48.44791,593.337,112.935,74396,75796,104586,11341,493.0,518.0,290.0,1050.709939148073,37.03703703703704,118
2014-06-14,Well_#1,24.0,2749,208.753,979.967,48.73205,575.116,110.096,74905,76331,105348,11644,509.0,535.0,303.0,1051.080550098232,37.31527093596059,119
2014-06-15,Well_#1,24.0,2786,208.57,1014.79,47.954,526.965,101.903,75257,76704,105874,11885,352.0,373.0,241.0,1059.659090909091,40.640809443507585,120
2014-06-16,Well_#1,24.0,2812,208.517,959.012,47.3634,526.062,92.299,75544,77019,106300,12125,287.0,315.0,240.0,1097.560975609756,45.54079696394687,121
2014-06-17,Well_#1,24.0,2817,208.552,992.16,47.12086,555.762,102.151,75823,77331,106731,12360,279.0,312.0,235.0,1118.279569892473,45.719844357976655,122
2014-06-18,Well_#1,24.0,2817,208.6,951.342,47.04329,560.335,110.988,76120,77662,107174,12609,297.0,331.0,249.0,1114.4781144781145,45.604395604395606,123
2014-06-19,Well_#1,24.0,2816,208.625,959.511,47.01765,563.986,111.729,76417,77988,107627,12857,297.0,326.0,248.0,1097.6430976430977,45.50458715596331,124
2014-06-20,Well_#1,24.0,3097,207.245,1014.99,59.25648,407.612,106.455,76708,78315,108070,13394,291.0,327.0,537.0,1123.7113402061855,64.85507246376811,125
2014-06-21,Well_#1,24.0,2917,209.1,972.156,51.45959,577.395,125.062,77135,78804,108772,13738,427.0,489.0,344.0,1145.19906323185,44.61738002594034,126
2014-06-22,Well_#1,24.0,2940,209.022,1019.28,48.39082,632.911,122.973,77558,79288,109434,14080,423.0,484.0,342.0,1144.2080378250591,44.70588235294118,127
2014-06-23,Well_#1,24.0,2948,208.996,1004.48,48.1451,656.888,116.723,77970,79761,110079,14417,412.0,473.0,337.0,1148.0582524271845,44.99332443257677,128
2014-06-24,Well_#1,24.0,2935,209.008,972.893,47.98282,646.483,120.031,78381,80231,110709,14753,411.0,470.0,336.0,1143.552311435523,44.97991967871486,129
2014-06-25,Well_#1,24.0,2932,208.963,995.588,47.98749,648.979,118.667,78790,80698,111355,15087,409.0,467.0,334.0,1141.8092909535453,44.952893674293406,130
2014-06-26,Well_#1,24.0,2932,208.93,978.077,47.23641,669.184,119.414,79180,81143,111988,15403,390.0,445.0,316.0,1141.025641025641,44.759206798866856,131
2014-06-27,Well_#1,24.0,2949,208.849,1000.03,47.19389,661.526,112.047,79560,81572,112591,15730,380.0,429.0,327.0,1128.9473684210527,46.25176803394625,132
2014-06-28,Well_#1,24.0,2944,208.833,1047.45,47.15806,650.837,110.812,79951,81973,113153,16054,391.0,401.0,324.0,1025.5754475703325,45.31468531468531,133
2014-06-29,Well_#1,24.0,2940,208.817,1003.45,47.18744,647.565,113.814,80343,82375,113701,16383,392.0,402.0,329.0,1025.5102040816328,45.63106796116505,134
2014-06-30,Well_#1,24.0,2938,208.81,1035.45,47.16332,650.556,116.918,80728,82773,114258,16706,385.0,398.0,323.0,1033.7662337662337,45.62146892655367,135
2014-07-01,Well_#1,24.0,2936,208.798,985.389,47.1641,624.652,114.579,81070,83132,114759,16997,342.0,359.0,291.0,1049.7076023391812,45.97156398104265,136
2014-07-02,Well_#1,24.0,2934,208.787,1048.01,47.1685,615.25,112.979,81409,83491,115246,17288,339.0,359.0,291.0,1058.9970501474927,46.19047619047619,137
2014-07-03,Well_#1,24.0,2931,208.781,962.556,47.18305,617.541,113.418,81753,83856,115723,17586,344.0,365.0,298.0,1061.046511627907,46.41744548286604,138
2014-07-04,Well_#1,24.0,2930,208.769,1012.41,47.18536,620.63,114.004,82087,84206,116184,17890,334.0,350.0,304.0,1047.9041916167664,47.64890282131661,139
2014-07-05,Well_#1,24.0,2930,208.756,1024.39,47.142,614.865,114.621,82416,84555,116682,18193,329.0,349.0,303.0,1060.790273556231,47.94303797468354,140
2014-07-06,Well_#1,24.0,2895,208.836,950.52,47.6744,630.428,116.484,82775,84932,117207,18513,359.0,377.0,320.0,1050.1392757660167,47.1281296023564,141
2014-07-07,Well_#1,24.0,2865,208.936,1028.66,47.918,599.015,118.159,83152,85331,117735,18846,377.0,399.0,333.0,1058.3554376657826,46.901408450704224,142
2014-07-08,Well_#1,24.0,2870,208.887,980.527,47.821,617.828,117.304,83509,85708,118276,19178,357.0,377.0,332.0,1056.0224089635853,48.185776487663276,143
2014-07-09,Well_#1,24.0,2867,208.874,1037.07,47.71148,590.956,113.745,83863,86083,118814,19506,354.0,375.0,328.0,1059.322033898305,48.09384164222874,144
2014-07-10,Well_#1,24.0,2869,208.861,1018.15,47.68821,580.491,114.162,84202,86445,119289,19824,339.0,362.0,318.0,1067.8466076696166,48.401826484018265,145
2014-07-11,Well_#1,24.0,2871,208.843,1011.87,47.65562,565.321,109.313,84527,86792,119759,20148,325.0,347.0,324.0,1067.6923076923076,49.922958397534664,146
2014-07-12,Well_#1,24.0,2871,208.835,998.683,47.66434,561.903,107.678,84852,87139,120238,20470,325.0,347.0,322.0,1067.6923076923076,49.76816074188562,147
2014-07-13,Well_#1,24.0,2870,208.83,1026.91,47.65849,578.473,105.711,85174,87486,120693,20792,322.0,347.0,322.0,1077.6397515527951,50.0,148
2014-07-14,Well_#1,23.09,2872,208.82,1044.35,47.54358,566.735,106.487,85482,87817,121170,21100,308.0,331.0,308.0,1074.6753246753246,50.0,149
2014-07-15,Well_#1,24.0,2950,207.428,1026.35,52.06218,114.139,104.415,85537,87880,121253,21242,55.0,63.0,142.0,1145.4545454545455,72.08121827411168,150
2014-07-16,Well_#1,24.0,2765,209.12,978.07,56.67501,446.96,113.803,85736,88103,121570,21550,199.0,223.0,308.0,1120.6030150753768,60.74950690335306,151
2014-07-17,Well_#1,24.0,2886,208.957,1006.38,50.31846,516.696,103.0,86012,88406,122000,22005,276.0,303.0,455.0,1097.8260869565217,62.243502051983576,152
2014-07-18,Well_#1,24.0,2869,209.003,1029.87,49.37073,547.943,112.102,86299,88716,122447,22465,287.0,310.0,460.0,1080.1393728222997,61.57965194109772,153
2014-07-19,Well_#1,24.0,2864,209.013,1037.24,49.02993,548.718,111.656,86622,89064,122907,22817,323.0,348.0,352.0,1077.3993808049536,52.148148148148145,154
2014-07-20,Well_#1,24.0,2883,208.948,1005.59,48.70207,553.21,112.377,86938,89403,123383,23162,316.0,339.0,345.0,1072.7848101265822,52.193645990922846,155
2014-07-21,Well_#1,24.0,2880,208.954,1000.47,48.91711,556.875,108.44,87260,89742,123837,23497,322.0,339.0,335.0,1052.7950310559006,50.98934550989346,156
2014-07-22,Well_#1,24.0,2880,208.944,977.649,48.97838,569.657,105.739,87580,90094,124339,23842,320.0,352.0,345.0,1100.0,51.8796992481203,157
2014-07-23,Well_#1,24.0,2877,208.944,971.161,48.93956,567.287,105.587,87906,90449,124811,24186,326.0,355.0,344.0,1088.9570552147238,51.34328358208955,158
2014-07-24,Well_#1,24.0,2873,208.94,978.291,48.89741,544.568,106.429,88235,90807,125311,24514,329.0,358.0,328.0,1088.145896656535,49.923896499238964,159
2014-07-25,Well_#1,24.0,2873,208.931,964.863,48.88402,543.467,104.865,88560,91160,125794,24840,325.0,353.0,326.0,1086.1538461538462,50.07680491551459,160
2014-07-26,Well_#1,24.0,2873,208.921,1024.96,48.86635,555.616,110.097,88884,91511,126257,25166,324.0,351.0,326.0,1083.3333333333333,50.153846153846146,161
